+--------------+------+-------+--------------+
| melts_in_run | runs | melts | pct_of_melts |
+--------------+------+-------+--------------+
|            1 |  162 |   162 |         13.0 |
|            2 |   84 |   168 |         13.5 |
|            3 |   66 |   198 |         15.9 |
|            4 |   48 |   192 |         15.4 |
|            5 |   40 |   200 |         16.1 |
|            6 |   26 |   156 |         12.5 |
|            7 |    5 |    35 |          2.8 |
|            8 |    1 |     8 |          0.6 |
|            9 |    6 |    54 |          4.3 |
|           10 |    2 |    20 |          1.6 |
|           11 |    2 |    22 |          1.8 |
|           12 |    1 |    12 |          1.0 |
|           19 |    1 |    19 |          1.5 |
+--------------+------+-------+--------------+
+----------+----------+--------------+------------+----------------+--------------+--------------+
| run_id   | melt_id  | product_code | ended      | order_loss_pct | run_loss_pct | melts_in_run |
+----------+----------+--------------+------------+----------------+--------------+--------------+
| C01-0002 | 20200313 | OPQ-118      | 2020-05-23 |          10.00 |         3.62 |            5 |
| C01-0002 | 20200326 | OPQ-118      | 2020-05-28 |           NULL |         3.62 |            5 |
| C01-0002 | 20200342 | OPQ-118      | 2020-06-01 |           NULL |         3.62 |            5 |
| C01-0002 | 20200352 | OPQ-118      | 2020-06-07 |           NULL |         3.62 |            5 |
| C01-0002 | 20200366 | OPQ-118      | 2020-06-13 |          -0.38 |         3.62 |            5 |
| C01-0011 | 20200944 | MAT-109      | 2021-03-19 |           6.79 |         6.03 |            6 |
| C01-0011 | 20200958 | MAT-109      | 2021-03-25 |          12.30 |         6.03 |            6 |
| C01-0011 | 20200966 | MAT-109      | 2021-03-29 |           1.37 |         6.03 |            6 |
| C01-0011 | 20200969 | MAT-109      | 2021-04-04 |          12.02 |         6.03 |            6 |
| C01-0011 | 20200985 | MAT-109      | 2021-04-08 |           0.16 |         6.03 |            6 |
| C01-0011 | 20201008 | MAT-109      | 2021-04-14 |          -0.45 |         6.03 |            6 |
| C01-0018 | 20201594 | MAT-101      | 2022-02-22 |          12.31 |         5.32 |            6 |
| C01-0018 | 20201602 | MAT-101      | 2022-02-27 |          -2.20 |         5.32 |            6 |
| C01-0018 | 20201638 | MAT-101      | 2022-04-04 |           6.87 |         5.32 |            6 |
| C01-0018 | 20201650 | MAT-101      | 2022-04-06 |           3.62 |         5.32 |            6 |
| C01-0018 | 20201671 | MAT-101      | 2022-04-09 |           4.25 |         5.32 |            6 |
| C01-0018 | 20201703 | MAT-101      | 2022-05-10 |           5.01 |         5.32 |            6 |
| C01-0042 | 20203558 | MAT-101      | 2024-09-15 |           4.92 |         4.32 |            6 |
| C01-0042 | 20203572 | MAT-101      | 2024-09-17 |           8.44 |         4.32 |            6 |
| C01-0042 | 20203585 | MAT-101      | 2024-09-21 |          -1.23 |         4.32 |            6 |
| C01-0042 | 20203603 | MAT-101      | 2024-09-25 |           4.66 |         4.32 |            6 |
| C01-0042 | 20203635 | MAT-101      | 2024-10-10 |           4.01 |         4.32 |            6 |
| C01-0042 | 20203645 | MAT-101      | 2024-10-14 |           4.13 |         4.32 |            6 |
| C01-0051 | 20204170 | TRN-102      | 2025-08-09 |          15.44 |         9.79 |            4 |
+----------+----------+--------------+------------+----------------+--------------+--------------+
+----------------+-----------------+--------------------+---------------------+
| plant_loss_pct | negative_orders | negative_runs_rows | melts_in_multi_runs |
+----------------+-----------------+--------------------+---------------------+
|          6.757 |              54 |                  0 |                1084 |
+----------------+-----------------+--------------------+---------------------+
+--------------+------+------+-------+---------------+
| furnace_code | year | runs | melts | melts_per_run |
+--------------+------+------+-------+---------------+
| C01          | 2020 |    8 |    24 |          3.00 |
| C01          | 2021 |    8 |    24 |          3.00 |
| C01          | 2022 |    8 |    27 |          3.38 |
| C01          | 2023 |   10 |    22 |          2.20 |
| C01          | 2024 |   12 |    36 |          3.00 |
| C01          | 2025 |   10 |    34 |          3.40 |
| C01          | 2026 |    6 |    21 |          3.50 |
| C02          | 2020 |   13 |    34 |          2.62 |
| C02          | 2021 |   11 |    25 |          2.27 |
| C02          | 2022 |    5 |    11 |          2.20 |
| C02          | 2023 |    6 |    18 |          3.00 |
| C02          | 2024 |    9 |    18 |          2.00 |
| C02          | 2025 |    9 |    24 |          2.67 |
| C02          | 2026 |    8 |    18 |          2.25 |
| C03          | 2020 |   10 |    20 |          2.00 |
| C03          | 2021 |    7 |    20 |          2.86 |
| C03          | 2022 |   11 |    28 |          2.55 |
| C03          | 2023 |   13 |    23 |          1.77 |
| C03          | 2024 |    8 |    25 |          3.13 |
| C03          | 2025 |    6 |    17 |          2.83 |
| C03          | 2026 |    5 |    21 |          4.20 |
| C04          | 2020 |   10 |    23 |          2.30 |
| C04          | 2021 |    8 |    19 |          2.38 |
| C04          | 2022 |    5 |    14 |          2.80 |
| C04          | 2023 |    9 |    24 |          2.67 |
| C04          | 2024 |   12 |    38 |          3.17 |
| C04          | 2025 |    8 |    16 |          2.00 |
| C04          | 2026 |    3 |    11 |          3.67 |
| C05          | 2020 |    9 |    28 |          3.11 |
| C05          | 2021 |   11 |    20 |          1.82 |
| C05          | 2022 |    9 |    23 |          2.56 |
| C05          | 2023 |    9 |    19 |          2.11 |
| C05          | 2024 |   10 |    26 |          2.60 |
| C05          | 2025 |   11 |    19 |          1.73 |
| C05          | 2026 |    7 |    18 |          2.57 |
| C06          | 2020 |    9 |    24 |          2.67 |
| C06          | 2021 |   10 |    26 |          2.60 |
| C06          | 2022 |   11 |    26 |          2.36 |
| C06          | 2023 |   10 |    17 |          1.70 |
| C06          | 2024 |    8 |    19 |          2.38 |
| C06          | 2025 |    8 |    18 |          2.25 |
| C06          | 2026 |    7 |    22 |          3.14 |
| R01          | 2020 |    3 |     3 |          1.00 |
| R01          | 2021 |    6 |    16 |          2.67 |
| R01          | 2022 |    3 |    14 |          4.67 |
| R01          | 2023 |    7 |    25 |          3.57 |
| R01          | 2024 |    9 |    34 |          3.78 |
| R01          | 2025 |    8 |    11 |          1.38 |
| R01          | 2026 |    6 |    18 |          3.00 |
| T01          | 2020 |    7 |    40 |          5.71 |
| T01          | 2021 |   12 |    41 |          3.42 |
| T01          | 2022 |    7 |    21 |          3.00 |
| T01          | 2023 |    9 |    41 |          4.56 |
| T01          | 2024 |    6 |    21 |          3.50 |
| T01          | 2025 |    4 |     8 |          2.00 |
| T01          | 2026 |    4 |    13 |          3.25 |
+--------------+------+------+-------+---------------+
